symbol,side,entry_price,exit_price,amount,pnl,pnl_pct,reason,opened_at,closed_at,final_cash
BTC/USDT,LONG,81210.0,81644.0,0.00024627508927471984,0.10688338874522842,0.5344169437261421,TRAILING_STOP_LONG (Đỉnh: 81816.01 -> Bán: 81644.00),2026-09-20T20:01:44.461724+00:00,2026-09-21T00:39:39.251852+00:00,100.10688338874523
BTC/USDT,LONG,81950.01,81293.55,0.00024431207119741716,-0.16038110225825447,-0.8010493226297251,STOP_LOSS_LONG,2026-09-21T01:25:38.514604+00:00,2026-09-21T01:49:26.138585+00:00,99.94650228648698
BTC/USDT,LONG,81772.05,83740.89,0.0008560382184377179,1.6854022859889135,2.4077175514127336,AI_EARLY_EXIT_CLOSE,2026-09-21T08:00:16.333335+00:00,2026-09-21T08:40:40.400143+00:00,101.68540228598891
BTC/USDT,LONG,84653.7,84252.0,0.0008268982926912823,-0.3321650441740857,-0.47452149167726526,AI_EARLY_EXIT_CLOSE,2026-09-21T10:00:10.248248+00:00,2026-09-21T10:35:29.478188+00:00,99.66783495582591
BTC/USDT,LONG,84602.01,84627.2,0.0008246551644467801,0.02077306359241631,0.029774706298351928,AI_EARLY_EXIT_CLOSE,2026-09-21T11:10:55.439856+00:00,2026-09-21T11:25:05.336865+00:00,99.68860801941833
BTC/USDT,LONG,84652.21,85030.08,0.000824337906991357,0.31149256491482025,0.44637936800468103,AI_EARLY_EXIT_CLOSE,2026-09-21T11:30:11.483913+00:00,2026-09-21T13:25:25.412184+00:00,100.00010058433314
BTC/USDT,LONG,85111.54,85051.34,0.0008224509908883472,-0.04951154965147611,-0.07073071407237737,AI_EARLY_EXIT_CLOSE,2026-09-21T13:35:34.226680+00:00,2026-09-21T13:40:38.611410+00:00,99.95058903468167
BTC/USDT,LONG,85629.44,85299.45,0.0008170719360570052,-0.26962556817945543,-0.38536979805076993,AI_EARLY_EXIT_CLOSE,2026-09-21T13:50:48.391564+00:00,2026-09-21T14:05:03.556610+00:00,99.68096346650222
BTC/USDT,LONG,85277.18,85257.41,0.0008182338396573568,-0.01617648301001737,-0.023183224398355483,AI_EARLY_EXIT_CLOSE,2026-09-21T14:10:15.081649+00:00,2026-09-21T14:15:18.612543+00:00,99.6647869834922
BTC/USDT,LONG,85435.99,85869.44,0.0008165803531795504,0.3539467540856737,0.5073388861064254,AI_EARLY_EXIT_CLOSE,2026-09-21T14:20:25.115181+00:00,2026-09-21T15:25:04.505874+00:00,100.01873373757788
BTC/USDT,LONG,85881.35,85985.64,0.0008152307062744647,0.0850204103573587,0.12143497977150287,AI_EARLY_EXIT_CLOSE,2026-09-21T15:30:10.689451+00:00,2026-09-21T15:40:19.304875+00:00,100.10375414793523
BTC/USDT,LONG,86109.01,85934.05,0.0008137665025245868,-0.14237658728169508,-0.20318431253592614,AI_EARLY_EXIT_CLOSE,2026-09-21T15:45:26.817803+00:00,2026-09-21T16:00:38.555578+00:00,99.96137756065355
